step,skip_instructions,rl_action,rl_ipc,best_action,best_ipc
82,17408200,l2c_prefetcher=ip_stride|llc_replacement=random,2.1643850440993453,l2c_prefetcher=next_line|llc_replacement=lru,2.1998328127062345
83,17608300,l2c_prefetcher=ip_stride|llc_replacement=random,1.404683143352788,l2c_prefetcher=next_line|llc_replacement=lru,1.4802318008229964
84,17808400,l2c_prefetcher=ip_stride|llc_replacement=random,1.499666324242856,l2c_prefetcher=next_line|llc_replacement=lru,1.5728092732834753
85,18008500,l2c_prefetcher=ip_stride|llc_replacement=random,2.136866285592179,l2c_prefetcher=next_line|llc_replacement=lru,2.196257577088641
86,18208600,l2c_prefetcher=ip_stride|llc_replacement=random,1.4657168821270483,l2c_prefetcher=next_line|llc_replacement=lru,1.5355086372360844
87,18408700,l2c_prefetcher=ip_stride|llc_replacement=random,1.5459014492753622,l2c_prefetcher=next_line|llc_replacement=lru,1.6181179763917768
88,18608800,l2c_prefetcher=ip_stride|llc_replacement=random,2.086234053428187,l2c_prefetcher=next_line|llc_replacement=lru,2.1294598652058645
89,18808900,l2c_prefetcher=ip_stride|llc_replacement=random,1.9858313061609492,l2c_prefetcher=next_line|llc_replacement=lru,2.039473415862786
90,19009000,l2c_prefetcher=ip_stride|llc_replacement=random,1.53933362580526,l2c_prefetcher=next_line|llc_replacement=lru,1.6113778823377753
91,19209100,l2c_prefetcher=ip_stride|llc_replacement=random,1.516422776556221,l2c_prefetcher=next_line|llc_replacement=lru,1.603831534377957
92,19409200,l2c_prefetcher=ip_stride|llc_replacement=random,1.5088530625485654,l2c_prefetcher=next_line|llc_replacement=lru,1.575794582499488
93,19609300,l2c_prefetcher=ip_stride|llc_replacement=random,2.090212677013116,l2c_prefetcher=next_line|llc_replacement=lru,2.1196981580007206
94,19809400,l2c_prefetcher=no|llc_replacement=random,1.3642819138050997,l2c_prefetcher=next_line|llc_replacement=lru,1.435984146814285
95,20009500,l2c_prefetcher=ip_stride|llc_replacement=random,1.9832616068064177,l2c_prefetcher=next_line|llc_replacement=lru,2.040336648814078
96,20209600,l2c_prefetcher=ip_stride|llc_replacement=random,1.5032620296739474,l2c_prefetcher=next_line|llc_replacement=lru,1.5610964977325414
97,20409700,l2c_prefetcher=ip_stride|llc_replacement=random,2.14105103144102,l2c_prefetcher=next_line|llc_replacement=lru,2.178243917314688
98,20609800,l2c_prefetcher=ip_stride|llc_replacement=random,1.5509759369692835,l2c_prefetcher=next_line|llc_replacement=lru,1.6238227461678358
99,20809900,l2c_prefetcher=ip_stride|llc_replacement=random,1.5576479750778816,l2c_prefetcher=next_line|llc_replacement=lru,1.6342035380152797
