pc,memory_address,opcode,source_register1,source_register2,destination_register1,commit_cycle,delta_cycles
5003537,60371768,1,9,10,79,9716,877
5003542,140729832892824,2,6,0,0,9716,0
5003554,60371760,1,9,10,56,9716,0
5003558,0,0,29,0,25,9716,0
5003561,0,6,26,25,26,9716,0
5003598,0,0,0,0,5,9717,1
5003608,0,4,26,0,26,9717,0
5003650,0,0,79,0,25,9717,0
5003653,0,6,26,25,26,9718,1
5003659,0,0,8,0,25,9718,0
5003662,0,6,26,25,26,9719,1
5003664,0,0,16,3,25,9719,0
5003667,0,6,26,25,26,9720,1
5003673,0,0,56,0,56,9720,0
5003675,140729832892664,1,6,0,55,9720,0
5003682,0,0,55,0,47,9720,0
5003684,0,0,55,0,25,9720,0
5003687,0,6,26,25,26,9721,1
5003693,0,0,0,0,55,9721,0
5003698,0,0,0,0,27,9721,0
5003700,6998584,5,4,0,26,10411,690
5003871,140729832892512,2,6,7,0,10647,236
5003876,0,0,13,0,7,10647,0
5003879,0,0,8,0,25,10647,0
5003882,0,6,26,25,26,10648,1
5003972,140729832892672,2,6,0,0,10884,236
5003984,196617948,1,16,0,45,10888,4
5003989,0,0,6,0,4,10888,0
5003997,0,0,6,0,8,10888,0
5004005,140729832892472,7,26,6,26,10888,0
5287920,0,0,0,0,56,11929,1041
5287925,0,0,46,0,25,11929,0
5287929,0,6,26,25,26,11930,1
5287931,0,0,46,0,25,11930,0
5287935,0,6,26,25,26,11931,1
5287969,0,0,46,0,56,13109,1178
5287973,6719946,1,10,0,30,14031,922
5287979,0,0,30,0,56,14032,1
5287982,0,0,27,0,25,14032,0
5287984,0,6,26,25,26,14032,0
5287986,140729832892696,2,4,30,0,14032,0
5287988,0,0,0,0,55,14032,0
5287993,140729832892728,2,8,9,0,14033,1
5287996,140729832892472,9,6,0,26,14033,0
5004010,140729832892824,2,6,10,0,14033,0
5004018,0,0,0,0,55,14033,0
5004023,0,0,10,0,25,14033,0
