step,best_policy,best_ipc,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay_ipc,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay_loss,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay_loss_pct,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV_ipc,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV_loss,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV_loss_pct,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay_ipc,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay_loss,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay_loss_pct,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV_ipc,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV_loss,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV_loss_pct,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay_ipc,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay_loss,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay_loss_pct,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV_ipc,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV_loss,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV_loss_pct,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay_ipc,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay_loss,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay_loss_pct,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV_ipc,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV_loss,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV_loss_pct
10,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.601082,0.598601,0.0024809999999999555,0.4127556639526646,0.598601,0.0024809999999999555,0.4127556639526646,0.599074,0.0020080000000000098,0.33406423749172487,0.599074,0.0020080000000000098,0.33406423749172487,0.599989,0.0010930000000000106,0.1818387507860842,0.599989,0.0010930000000000106,0.1818387507860842,0.601082,0.0,0.0,0.601082,0.0,0.0
11,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.348741,0.348395,0.00034600000000001296,0.09921402989611573,0.348395,0.00034600000000001296,0.09921402989611573,0.348741,0.0,0.0,0.348741,0.0,0.0,0.348257,0.00048400000000003995,0.13878494355411033,0.348257,0.00048400000000003995,0.13878494355411033,0.348533,0.00020800000000004149,0.059643116238137034,0.348533,0.00020800000000004149,0.059643116238137034
12,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.235122,0.235068,5.3999999999998494e-05,0.022966800214356164,0.235068,5.3999999999998494e-05,0.022966800214356164,0.235122,0.0,0.0,0.235122,0.0,0.0,0.235065,5.7000000000001494e-05,0.02424273355959948,0.235065,5.7000000000001494e-05,0.02424273355959948,0.235122,0.0,0.0,0.235122,0.0,0.0
13,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.200128,0.199213,0.0009149999999999991,0.45720738727214544,0.199213,0.0009149999999999991,0.45720738727214544,0.197892,0.002235999999999988,1.1172849376399043,0.197898,0.0022300000000000098,1.1142868564119013,0.200074,5.3999999999998494e-05,0.026982731052125886,0.200128,0.0,0.0,0.199675,0.00045300000000000895,0.22635513271506685,0.199261,0.0008670000000000067,0.43322273744803663
14,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.231984,0.228893,0.0030909999999999827,1.332419477205317,0.228893,0.0030909999999999827,1.332419477205317,0.230257,0.0017270000000000063,0.7444478929581378,0.230257,0.0017270000000000063,0.7444478929581378,0.231984,0.0,0.0,0.231984,0.0,0.0,0.23059,0.0013940000000000063,0.6009035105869398,0.230594,0.0013900000000000023,0.5991792537416384
15,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.209652,0.207555,0.0020970000000000155,1.000228950832816,0.20796,0.001691999999999999,0.8070516856505061,0.207533,0.0021190000000000098,1.0107225306698766,0.207533,0.0021190000000000098,1.0107225306698766,0.209652,0.0,0.0,0.209652,0.0,0.0,0.209144,0.0005080000000000084,0.24230629805582987,0.209144,0.0005080000000000084,0.24230629805582987
16,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.17337,0.17337,0.0,0.0,0.173283,8.700000000000374e-05,0.05018169233431606,0.170027,0.003342999999999985,1.9282459479725356,0.170027,0.003342999999999985,1.9282459479725356,0.171395,0.0019750000000000045,1.1391820960950594,0.171439,0.0019309999999999883,1.113802849397236,0.169504,0.0038660000000000083,2.229912903039746,0.169826,0.0035439999999999916,2.044182961296644
17,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.196993,0.196993,0.0,0.0,0.196993,0.0,0.0,0.19432,0.0026730000000000087,1.356901006634758,0.194163,0.002829999999999999,1.436599270024823,0.19679,0.00020300000000000873,0.10304934693111366,0.196855,0.00013799999999999923,0.0700532506231182,0.193927,0.003066000000000013,1.5564004812353804,0.193926,0.003067000000000014,1.5569081134862732
18,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.19955,0.199251,0.0002989999999999937,0.14983713355048545,0.199386,0.00016399999999999748,0.08218491606113629,0.198873,0.0006770000000000109,0.33926334252067697,0.198956,0.0005940000000000112,0.2976697569531502,0.19955,0.0,0.0,0.199544,6.0000000000060005e-06,0.003006765221751942,0.199417,0.00013299999999999423,0.06664996241543183,0.19921,0.00034000000000000696,0.1703833625657765
19,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.345636,0.345438,0.00019799999999997597,0.057285699406304895,0.345438,0.00019799999999997597,0.057285699406304895,0.344523,0.0011129999999999751,0.32201506787486694,0.344523,0.0011129999999999751,0.32201506787486694,0.345636,0.0,0.0,0.345636,0.0,0.0,0.345058,0.0005780000000000229,0.1672279507921695,0.344734,0.0009020000000000139,0.26096818618431356
