policy,mean_loss,median_loss,std_loss,min_loss,max_loss,p25,p75,p95,p99,pct_optimal,pct_excellent,pct_bad
gaze/entangling/PACIPV,1.6528001529337286,0.06385154498427623,4.256861171444979,0.0,37.60054252988409,0.0,0.9127349949182364,10.726196800969328,23.26659300822209,40.30612244897959,76.16326530612245,9.346938775510203
gaze/barca/PACIPV,1.6506544972917012,0.06694823627484417,4.256919213879287,0.0,37.60054252988409,0.0,0.9220641122788971,10.726196800969328,23.26659300822209,41.08163265306123,76.3061224489796,9.387755102040817
gaze/entangling/mockingjay,1.658473987258874,0.09264060710246014,4.257641135997472,0.0,37.60054252988409,0.0,0.9136653180916128,10.727716975043002,23.264115277813865,38.142857142857146,76.24489795918367,9.387755102040817
gaze/barca/mockingjay,1.657661769563753,0.0928090208397141,4.257673319824467,0.0,37.60054252988409,0.0,0.9220640726501789,10.727716975043002,23.264115277813865,38.755102040816325,76.22448979591837,9.408163265306122
berti/barca/PACIPV,1.37783031554129,0.13914330869142555,2.9371853624359816,0.0,18.99112415458466,0.0,1.0805299272193207,9.33218194220837,13.505832780295771,38.673469387755105,73.87755102040816,9.0
berti/entangling/PACIPV,1.3801963136887379,0.14712811093286865,2.9375530653367004,0.0,18.99112415458466,0.0,1.0832944466214263,9.33218194220837,13.505832780295771,37.734693877551024,73.75510204081633,9.0
berti/barca/mockingjay,1.3845890464324688,0.15610073637508726,2.9444073996375777,0.0,16.362769954204463,0.0,1.0804842516997348,9.29084517023335,13.461061941086783,35.775510204081634,73.77551020408163,8.979591836734693
berti/entangling/mockingjay,1.3885258267187548,0.1637627438628394,2.9445052005643366,0.0,16.362769954204463,0.0,1.0837606963850765,9.29084517023335,13.461061941086783,34.91836734693877,73.61224489795919,9.0
