application,oracle_ipc,baseline_ipc,baseline_loss_pct
607.cactuBSSN_s-2421B,1.0436217034877542,1.0393276296089715,0.41145885184564424
619.lbm_s-2676B,1.0044072680213718,1.0033086148014263,0.10938324073558317
641.leela_s-1052B,0.7206729132243023,0.7199753168396948,0.09679791925110193
429.mcf-184B,0.056944279260141,0.0568988486115736,0.07978088257093828
410.bwaves-1963B,1.7966796682126889,1.795386727430378,0.07196278809104524
471.omnetpp-188B,0.1824997081202896,0.1823812585306018,0.0649039885640357
631.deepsjeng_s-928B,0.7622039375943668,0.7618311582097823,0.048908089580462465
462.libquantum-1343B,1.4525425721765144,1.451980644322297,0.03868580962659772
453.povray-252B,0.5538577300886389,0.5536497866774054,0.03754455340006834
450.soplex-247B,0.6563234228434476,0.656090515765905,0.03548663196164607
625.x264_s-12B,2.039627318635191,2.0390460289228804,0.028499800282117054
470.lbm-1274B,1.467848182526423,1.467449236181506,0.02717899232809886
605.mcf_s-1152B,0.1461048330766789,0.1460694431186499,0.024222304823031154
627.cam4_s-490B,1.3883474433983474,1.3881383839965589,0.015058147208221498
648.exchange2_s-1227B,2.045370889360948,2.0450893213327004,0.013766111061437854
458.sjeng-1088B,0.7400153319786905,0.7399174359209083,0.013228922908995713
435.gromacs-111B,0.6439466503830815,0.6438663862885561,0.012464401278846744
465.tonto-1914B,0.9253026457954124,0.9251993126515377,0.011167496855686233
482.sphinx3-1100B,1.156060533641013,1.1559578638174883,0.008881007571578793
433.milc-127B,0.3522241633346917,0.3521946356094387,0.008383219644400156
481.wrf-1170B,0.952694610490718,0.9526187619015488,0.00796147982091916
436.cactusADM-1804B,1.2295382608361465,1.2294572706543596,0.006587040384720444
657.xz_s-2302B,0.3215976243999752,0.3215778041756163,0.006163050612033711
403.gcc-16B,0.7434544445150009,0.7434165903297901,0.0050916617003256975
483.xalancbmk-127B,0.2104072091152186,0.2103997814027089,0.0035301606541565914
603.bwaves_s-1080B,1.9215953681349272,1.921528877579953,0.0034601746068232673
620.omnetpp_s-141B,0.1359116652006483,0.1359071771140844,0.0033022085023136573
473.astar-153B,0.6431126989763345,0.6431083841584773,0.0006709271740551377
434.zeusmp-10B,0.9074442711470349,0.9074400542865492,0.0004646963587476076
437.leslie3d-134B,1.162149154464743,1.162149154464743,0.0
401.bzip2-226B,1.9583408198175505,1.9583408198175505,0.0
416.gamess-875B,0.9698174491208716,0.9698174491208716,0.0
400.perlbench-41B,0.4818594403421556,0.4818594403421556,0.0
454.calculix-104B,2.84632339199876,2.84632339199876,0.0
447.dealII-3B,1.2585300835916118,1.2585300835916118,0.0
444.namd-120B,1.6880283047644704,1.6880283047644704,0.0
445.gobmk-17B,0.6257980817063995,0.6257980817063995,0.0
456.hmmer-191B,1.758220770570095,1.758220770570095,0.0
602.gcc_s-1850B,0.9280936292240372,0.9280936292240372,0.0
459.GemsFDTD-1169B,1.3150371514181618,1.3150371514181618,0.0
464.h264ref-30B,1.8644951959735865,1.8644951959735865,0.0
600.perlbench_s-1273B,1.7909574860171866,1.7909574860171866,0.0
628.pop2_s-17B,0.7881578194709484,0.7881578194709484,0.0
621.wrf_s-575B,1.2155214655316788,1.2155214655316788,0.0
623.xalancbmk_s-10B,0.1725489689195621,0.1725489689195621,0.0
644.nab_s-12459B,1.3012294982190489,1.3012294982190489,0.0
638.imagick_s-10316B,1.238717554827972,1.238717554827972,0.0
649.fotonik3d_s-10881B,0.6102061985882176,0.6102061985882176,0.0
654.roms_s-1007B,1.1549285169774277,1.1549285169774277,0.0
