policy,benchmark,median_loss,mean_loss,std_loss,min_loss,max_loss,q25_loss,q75_loss,iqr_loss,num_steps
berti/barca/PACIPV,400.perlbench-41B,0.6151354110401063,0.6704834545724131,0.5506353253548651,0.0,2.409679632794495,0.22283554109198012,0.9888512077380169,0.7660156666460368,100
berti/barca/PACIPV,401.bzip2-226B,1.3434178858021757,1.341977646000637,0.8361009000111009,0.0,3.1968498817486624,0.7887509827728814,1.8452858581431764,1.056534875370295,100
berti/barca/PACIPV,403.gcc-16B,0.0,0.10822571635416431,0.22634961238129828,0.0,0.9732928699796546,0.0,0.011289297170312042,0.011289297170312042,100
berti/barca/PACIPV,410.bwaves-1963B,0.0,0.12124214879257451,0.2818697389956286,0.0,1.3999106297589485,0.0,0.0806668196506475,0.0806668196506475,100
berti/barca/PACIPV,416.gamess-875B,0.02021219140589972,0.16988490725018862,0.2615016285647413,0.0,1.2922542815745535,0.0,0.2523216501979185,0.2523216501979185,100
berti/barca/PACIPV,429.mcf-184B,0.0,0.049909360112616465,0.1246645088603193,0.0,0.7538394705236082,0.0,0.03407747858423569,0.03407747858423569,100
berti/barca/PACIPV,433.milc-127B,0.19992868681074644,0.40171271382091417,0.6485191906147052,0.0,4.848919935091887,0.0,0.539930257526335,0.539930257526335,100
berti/barca/PACIPV,434.zeusmp-10B,0.0,0.1512515149712083,0.2946952763426683,0.0,1.3008313684661676,0.0,0.12557890906229074,0.12557890906229074,100
berti/barca/PACIPV,435.gromacs-111B,0.0,0.12929644840781132,0.2204205246295185,0.0,1.0612413446888653,0.0,0.1947275583418746,0.1947275583418746,100
berti/barca/PACIPV,436.cactusADM-1804B,0.0,0.29086288532170934,0.523504495567562,0.0,3.2543489871437887,0.0,0.38538476708712865,0.38538476708712865,100
berti/barca/PACIPV,437.leslie3d-134B,0.4202011064016157,0.8240338705230107,1.0112047437062097,0.0,4.462986872984918,0.0,1.4991817536148244,1.4991817536148244,100
berti/barca/PACIPV,444.namd-120B,0.9919434715021551,1.2748482381171726,1.2087223765864359,0.0,4.856727281912466,0.015324099185507617,2.016204019743779,2.0008799205582717,100
