metric,value
count,4900.0
mean,0.0682592798443332
median,0.0
std,0.253170200989313
min,0.0
max,6.5389749660812315
p25,0.0
p50,0.0
p75,0.006656155903848547
p90,0.17609567904235346
p95,0.376692088793951
p99,1.1701483072204533
perfect_match_count,3451.0
perfect_match_pct,70.42857142857143
