trace,source_trace,policy,l1d_coverage,l1d_accuracy,total_ipc,is_best_fixed_policy
416.gamess-875B_combo,416.gamess-875B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.030868921884,0.056368210193,2.126709342634,0
416.gamess-875B_combo,416.gamess-875B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.030868921884,0.056368210193,2.126709342634,0
416.gamess-875B_combo,416.gamess-875B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.030912609493,0.056211510858,2.127041148568,1
416.gamess-875B_combo,416.gamess-875B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.030940436477,0.056244792149,2.127008121661,0
429.mcf-184B_combo,429.mcf-184B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.000002324000,0.013636363636,0.085238173067,0
429.mcf-184B_combo,429.mcf-184B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.000000000000,0.000000000000,0.086422798957,0
429.mcf-184B_combo,429.mcf-184B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.000002324000,0.013636363636,0.085238173067,0
429.mcf-184B_combo,429.mcf-184B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.000000000000,0.000000000000,0.086422798957,1
429.mcf-184B_combo,429.mcf-184B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.001618607997,0.071792397792,0.082658665727,0
429.mcf-184B_combo,429.mcf-184B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.001595399745,0.070429297158,0.086121020531,0
429.mcf-184B_combo,429.mcf-184B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.001618607997,0.071792397792,0.082658665727,0
429.mcf-184B_combo,429.mcf-184B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.001595399745,0.070429297158,0.086121020531,0
433.milc-127B_combo,433.milc-127B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.046704655356,0.054008528909,0.292379418141,0
433.milc-127B_combo,433.milc-127B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.046305154831,0.053412062323,0.292167486756,0
433.milc-127B_combo,433.milc-127B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.046704655356,0.054008528909,0.292379418141,0
433.milc-127B_combo,433.milc-127B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.046305154831,0.053412062323,0.292167486756,0
433.milc-127B_combo,433.milc-127B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.120564465287,0.739215549360,0.297114956270,0
433.milc-127B_combo,433.milc-127B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.120664460482,0.739178136844,0.297443743695,0
433.milc-127B_combo,433.milc-127B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.120564465287,0.739215549360,0.297114956270,0
433.milc-127B_combo,433.milc-127B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.120664460482,0.739178136844,0.297443743695,1
434.zeusmp-10B_combo,434.zeusmp-10B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.045248684101,0.018416032912,2.349588451961,0
434.zeusmp-10B_combo,434.zeusmp-10B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.044547270190,0.018523328959,2.355259263970,0
434.zeusmp-10B_combo,434.zeusmp-10B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.045248684101,0.018416032912,2.349588451961,0
434.zeusmp-10B_combo,434.zeusmp-10B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.044547270190,0.018523328959,2.355259263970,1
434.zeusmp-10B_combo,434.zeusmp-10B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.039126430660,0.574424760741,1.738542505061,0
434.zeusmp-10B_combo,434.zeusmp-10B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.039211439678,0.575070244737,1.768531580271,0
434.zeusmp-10B_combo,434.zeusmp-10B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.039126430660,0.574424760741,1.738542505061,0
434.zeusmp-10B_combo,434.zeusmp-10B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.039211439678,0.575070244737,1.768531580271,0
435.gromacs-111B_combo,435.gromacs-111B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.010113992789,0.012157439820,2.082746354752,0
