trace,policy,avg_l1d_coverage,avg_l1d_accuracy,total_ipc,is_best_fixed_policy
416.gamess-875B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.009000856744,0.054910456744,96.784726541760,no
416.gamess-875B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.009006080022,0.054659020994,96.797508397384,no
416.gamess-875B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.009006080022,0.054659020994,96.797508397384,no
429.mcf-184B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.000000000000,0.000000000000,5.694427926014,no
429.mcf-184B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.000000000000,0.000000000000,5.689884861157,no
429.mcf-184B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.000000000000,0.000000000000,5.694427926014,yes
429.mcf-184B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.000000000000,0.000000000000,5.689884861157,no
429.mcf-184B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.001178759720,0.084869347982,5.692649365698,no
429.mcf-184B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.001179047933,0.085388327141,5.688214719106,no
429.mcf-184B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.001178759720,0.084869347982,5.692649365698,no
429.mcf-184B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.001179047933,0.085388327141,5.688214719106,no
433.milc-127B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.042886366215,0.057457562531,35.144102475041,no
433.milc-127B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.043136750419,0.058040375182,35.144227350552,no
433.milc-127B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.042886366215,0.057457562531,35.144102475041,no
433.milc-127B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.043136750419,0.058040375182,35.144227350552,no
433.milc-127B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.113870624728,0.708575407290,35.222416333469,no
433.milc-127B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.113864120606,0.708594203098,35.219463560944,no
433.milc-127B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.113870624728,0.708575407290,35.222416333469,yes
433.milc-127B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.113864120606,0.708594203098,35.219463560944,no
434.zeusmp-10B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.043597721252,0.019658068856,90.744427114703,no
434.zeusmp-10B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.043602265770,0.019658207218,90.744005428655,no
434.zeusmp-10B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.043597721252,0.019658068856,90.744427114703,yes
434.zeusmp-10B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.043602265770,0.019658207218,90.744005428655,no
434.zeusmp-10B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.055771095163,0.527788852263,88.924935665835,no
434.zeusmp-10B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.055770079996,0.527745098971,88.924607762901,no
434.zeusmp-10B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.055771095163,0.527788852263,88.924935665835,no
434.zeusmp-10B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.055770079996,0.527745098971,88.924607762901,no
435.gromacs-111B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.005426204205,0.018170815644,64.393741864292,no
435.gromacs-111B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.005427321093,0.018171361645,64.394665038308,yes
