trace,policy,checkpoint_l1d_coverage,native_l1d_coverage,delta_l1d_coverage,abs_delta_l1d_coverage,checkpoint_l1d_accuracy,native_l1d_accuracy,delta_l1d_accuracy,abs_delta_l1d_accuracy,checkpoint_is_best_policy,native_is_best_policy
410.bwaves-1963B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.446474658654,0.486792154742,0.040317496088,0.040317496088,0.125033999100,0.124157872795,-0.000876126305,0.000876126305,0,0
410.bwaves-1963B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.282927768887,0.277590571895,-0.005337196992,0.005337196992,0.656629362507,0.633768592706,-0.022860769801,0.022860769801,0,0
410.bwaves-1963B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.282930899408,0.277533078532,-0.005397820876,0.005397820876,0.656724807401,0.633668554384,-0.023056253017,0.023056253017,0,0
410.bwaves-1963B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.282927768887,0.277590571895,-0.005337196992,0.005337196992,0.656629362507,0.633768592706,-0.022860769801,0.022860769801,0,0
410.bwaves-1963B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.282930899408,0.277533078532,-0.005397820876,0.005397820876,0.656724807401,0.633668554384,-0.023056253017,0.023056253017,0,0
416.gamess-875B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.000114754098,0.003131887252,0.003017133154,0.003017133154,0.000739436620,0.007875853217,0.007136416597,0.007136416597,0,0
416.gamess-875B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.000114754098,0.003131887252,0.003017133154,0.003017133154,0.000739436620,0.007875853217,0.007136416597,0.007136416597,0,0
416.gamess-875B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.000114754098,0.002430300807,0.002315546709,0.002315546709,0.000747330961,0.006253687316,0.005506356355,0.005506356355,0,0
416.gamess-875B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.000114754098,0.002430300807,0.002315546709,0.002315546709,0.000747330961,0.006253687316,0.005506356355,0.005506356355,1,0
416.gamess-875B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.009000856744,0.030868921884,0.021868065140,0.021868065140,0.054910456744,0.056368210193,0.001457753449,0.001457753449,0,0
